Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms)
12:45:00.000-03:00,13:00:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,3,14.239582960804302,88.74629058381474,,,,,,,0.3612476881931649,0.6305262147470497,0.2790763584510005,159,,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,14.2395829608043,29.023944090304195,,,,,,,0.2790763744923785,0.2790763744923785,0.2790763744923785,74,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,1,18.836792576240303,43.62596559881121,,,,,,,4.2345157511343094,8.76563549041748,0.8064252255644582,123,,,,,92644
14:30:00.000-03:00,14:45:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,14.239582960804302,,,,,,,,,,,,,,,,
15:30:00.000-03:00,15:45:00.000-03:00,5,28.702586637992045,248.77005033454935,1.0,1,,,,,0.8864131494096397,1.1132035152048543,0.40800636153912434,420,,,,,291460
15:45:00.000-03:00,16:00:00.000-03:00,,14.239582960804304,,,,,,,,,,,21,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,6,33.07977547511562,395.76854497459055,,,-34.552146911621094,-58.45225143432617,-34.5511589050293,-58.4512825012207,0.625224316450255,3.0015758803459613,0.2570716867867597,462,,,,,379669
16:30:00.000-03:00,16:45:00.000-03:00,11,46.12605668793765,784.2415832678553,6.0,6,-34.549400329589844,-58.45390701293945,-34.545501708984375,-58.4515266418457,0.9356034959895223,2.16331319927388,0.4951674380561783,1112,,,,,642579
16:45:00.000-03:00,17:00:00.000-03:00,2,16.47590220771565,54.1466257761446,,,,,,,0.6101081539224928,0.7994602950587287,0.2790763696073496,97,,,,,45066
17:00:00.000-03:00,17:15:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
18:45:00.000-03:00,19:00:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
19:00:00.000-03:00,19:15:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
19:15:00.000-03:00,19:30:00.000-03:00,,14.239582960804304,,,,,,,,,,,16,,,,,
19:30:00.000-03:00,19:45:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
19:45:00.000-03:00,20:00:00.000-03:00,5,17.233518073740786,133.7010797795706,,,,,,,0.43336158182793705,1.0394600953918638,0.2790763702829387,237,,,,,60334
20:00:00.000-03:00,20:15:00.000-03:00,3,14.239582960804306,66.9783325160866,,,,,,,0.48722469200068313,0.6953729953424029,0.27907638865896334,135,,,,,
20:15:00.000-03:00,20:30:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
20:30:00.000-03:00,20:45:00.000-03:00,2,14.239582960804304,69.26654526348224,,,,,,,0.9609942795446432,1.6429121894819372,0.2790763696073496,113,,,,,
20:45:00.000-03:00,21:00:00.000-03:00,,14.239582960804304,17.302735899989038,,,,,,,0.27907638087443265,0.27907638087443265,0.27907638087443265,41,,,,,
21:00:00.000-03:00,21:15:00.000-03:00,5,14.239582960804304,132.06605733528488,,,,,,,0.4797649336686322,0.7887763769665347,0.26047129311811457,279,,,,,
21:15:00.000-03:00,21:30:00.000-03:00,5,14.239582960804304,111.27829270824277,,,,,,,0.289065575139829,0.4144698850224688,0.25116874693532476,229,,,,,
21:30:00.000-03:00,21:45:00.000-03:00,,14.239582960804304,,,,,,,,,,,,,,,,
21:45:00.000-03:00,22:00:00.000-03:00,1,14.239582960804304,66.94362178880492,,,,,,,0.2922508598083376,0.34539152663510186,0.2697738393009044,176,,,,,
22:00:00.000-03:00,22:15:00.000-03:00,7,14.239582960804304,195.35346983858588,,,,,,,0.41327403657814615,0.7399752645400982,0.2790763779633202,376,,,,,
22:15:00.000-03:00,22:30:00.000-03:00,11,19.574156208432246,372.3031022525459,3.0,3,,,,,0.6995366556212326,1.5070619651105202,0.2790763650712515,633,,,,100525,
22:30:00.000-03:00,22:45:00.000-03:00,6,35.03117837760741,,6.0,6,,,,,,,,,,,,391798,
22:45:00.000-03:00,23:00:00.000-03:00,4,19.248546467863697,97.67673491929297,,,,,,,0.29006247840970495,0.44723775225558365,0.27907637249395756,175,,,,,100941
23:00:00.000-03:00,23:15:00.000-03:00,5,17.771477608320694,112.6687189747338,,,,,,,0.4972022983629187,0.8128682694530541,0.28094936950863986,244,,,,,71175
23:15:00.000-03:00,23:30:00.000-03:00,7,16.746421791899955,209.58798058531062,,,,,,,0.5721989416036004,0.7181584804006541,0.305797156714463,390,,,,,50518
23:30:00.000-03:00,23:45:00.000-03:00,,14.239582960804306,15.628277587086874,,,,,,,0.26047129311811457,0.26047129311811457,0.26047129311811457,28,,,,,
23:45:00.000-03:00,00:00:00.000-03:00,,14.239582960804306,15.628277587086874,,,,,,,0.26047129311811457,0.26047129311811457,0.26047129311811457,45,,,,,
