Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Jogging duration (ms),Strength training duration (ms)
2022-06-12,8,,253.0529429912567,,,,,,,0.331558376250476,1.1155720949172974,0.2719799280166626,620,,,,,,,,,
2022-06-13,27,,1306.3525207042694,3.0,3,,,,,0.4084314193371455,1.549456000328064,0.2719799280166626,2224,,,,,,,,,
2022-06-14,41,,1535.2287321090698,,,,,,,0.43753799076993527,2.423201084136963,0.2615191638469696,2660,,,,,,,,,
2022-06-15,34,,1359.9888663291931,1.0,1,,,,,0.4270606496055099,1.2142616510391235,0.2510583996772766,2488,,,,,,,,,
2022-06-16,44,,1898.0211997032166,4.0,4,,,,,0.5863829167597747,1.5711262226104736,0.2510583996772766,3272,,,,,,,,,
2022-06-17,11,,439.4860978126526,,,,,,,0.31992198205250527,0.8475340008735657,0.24888625741004944,1009,,,,,,,,,
2022-06-18,37,,1335.222166776657,,,,,,,0.3430385044055388,1.525199055671692,0.26300954818725586,2615,,,,,,,,,
2022-06-19,32,,1082.6413255929947,,,,,,,0.3428479232036404,0.9973673224449158,0.2510583996772766,2064,,,,,,,,,
2022-06-20,164,,11619.52524292469,124.0,124,,,,,0.4575431516033366,1.5046852827072144,0.2615191638469696,16834,,,,,,,,,
2022-06-21,49,,1866.003488779068,1.0,1,,,,,0.39035067627674835,1.4012596607208252,0.2615191638469696,3178,,,,,,,,,
2022-06-22,25,,1162.0952303409576,4.0,4,,,,,0.4174830403618387,1.5266951322555542,0.244537353515625,2160,,,,,,,,,
2022-06-23,37,,1545.0032910704613,1.0,1,,,,,0.4142893420025318,1.3278608322143555,0.2510583996772766,2619,,,,,,,,,
2022-06-24,61,,2354.7378686166776,4.0,4,,,,,0.46624903406919294,1.4296475648880005,0.2599422037601471,4333,,,,,,,,,
2022-06-25,55,,2351.060976018809,4.0,4,,,,,0.4311366654950192,1.4892170429229736,0.2510583996772766,4377,,,,,,,,,
2022-06-26,32,,1518.788717329502,3.0,3,,,,,0.32484458766675123,1.3359941244125366,0.24581436812877655,3079,,,,,,,,,
2022-06-27,80,,4392.5271825790405,34.0,34,,,,,0.5093565797110587,1.5702834129333496,0.2719799280166626,6619,,,,,,,,,
2022-06-28,118,,4309.804268658161,9.0,9,,,,,0.4666373068725871,1.456207275390625,0.2510583996772766,7017,,,,,,,,,
