Start time,End time,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Walking duration (ms)
12:45:00.000-03:00,13:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
13:00:00.000-03:00,13:15:00.000-03:00,1,13.979161525766054,22.79908125088649,,,,,,,0.2790763922878424,0.2790763922878424,0.2790763922878424,41,,,,
13:15:00.000-03:00,13:30:00.000-03:00,,13.979161525766054,0.6433351297438193,,,,,,,,,,29,,,,
13:30:00.000-03:00,13:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
13:45:00.000-03:00,14:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,7,,,,
14:00:00.000-03:00,14:15:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
14:15:00.000-03:00,14:30:00.000-03:00,,13.979161525766054,12.104865073167412,,,,,,,0.2790763696073496,0.2790763696073496,0.2790763696073496,22,,,,
14:30:00.000-03:00,14:45:00.000-03:00,,13.979161525766056,7.988634681658568,,,,,,,,,,25,,,,
14:45:00.000-03:00,15:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,15,,,,
15:00:00.000-03:00,15:15:00.000-03:00,,13.979161525766054,18.977194212891206,,,,,,,0.27907637707857036,0.27907637707857036,0.27907637707857036,34,,,,
15:15:00.000-03:00,15:30:00.000-03:00,,13.979161525766056,,,,,,,,,,,9,,,,
15:30:00.000-03:00,15:45:00.000-03:00,,13.979161525766052,,,,,,,,,,,,,,,
15:45:00.000-03:00,16:00:00.000-03:00,,13.979161525766052,,,,,,,,,,,,,,,
16:00:00.000-03:00,16:15:00.000-03:00,,13.979161525766052,,,,,,,,,,,,,,,
16:15:00.000-03:00,16:30:00.000-03:00,,13.979161525766052,,,,,,,,,,,15,,,,
16:30:00.000-03:00,16:45:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
16:45:00.000-03:00,17:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,6,,,,
17:00:00.000-03:00,17:15:00.000-03:00,1,13.979161525766054,27.34948577740203,,,,,,,0.2790763767355041,0.2790763767355041,0.2790763767355041,49,,,,
17:15:00.000-03:00,17:30:00.000-03:00,,13.979161525766054,,,,,,,,,,,7,,,,
17:30:00.000-03:00,17:45:00.000-03:00,,13.979161525766054,21.209805296760756,,,,,,,0.278326410916219,0.278326410916219,0.278326410916219,,,,,
17:45:00.000-03:00,18:00:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
18:00:00.000-03:00,18:15:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
18:15:00.000-03:00,18:30:00.000-03:00,,13.979161525766054,,,,,,,,,,,,,,,
18:30:00.000-03:00,18:45:00.000-03:00,8,28.816729816030314,225.28954717194378,,,,,,,0.590932416756839,0.8032539406372146,0.27907637157433024,419,,,,313869
18:45:00.000-03:00,19:00:00.000-03:00,11,32.494704735134775,452.5770364114591,,,,,,,0.7531091644979233,1.1456248574575145,0.2790763724939576,800,,,,391672
19:00:00.000-03:00,19:15:00.000-03:00,14,52.99450644445604,721.6123485165275,,,,,,,0.8810468054307341,1.0376590347598944,0.7051130969510458,1240,,,,825318
