k,inertia,silhouette,selected,linkage
1,144.99999999999997,,False,average
2,13.048281324729661,0.8343688317608399,True,average
3,7.9745917114734315,0.46024650682416307,False,average
4,4.444360337588086,0.557805487898255,False,average
5,1.9297713991202983,0.6848258210085307,False,average
6,0.0,,False,average
