k,inertia,silhouette,selected
1,145.0,,False
2,47.008554972816015,0.6182378567311083,False
3,12.113515405773876,0.5732211761270886,False
4,7.4751440733071846,0.6969600123868179,False
5,3.0231592215840566,0.7060201643144538,True
6,0.0,,False
