k,inertia,silhouette,selected,linkage
1,145.0,,False,average
2,46.236916057806674,0.4770457887577145,True,average
3,24.918288463583078,0.17282013184400655,False,average
4,13.64902792045875,0.12832762783920557,False,average
5,5.900635895419672,0.06075958677521848,False,average
6,0.0,,False,average
