MATERIA;FECHA_RENDIR
TEORIA DE SISTEMAS;12/06/23 (SEGUNDO PARCIAL)
TEORIA DE SISTEMAS;03/07/23 (FINAL ADELANTADO)
ELEMENTOS DE ALGEBRA Y GEOMETRIA;26/04/23 (PRIMER PARCIAL)
ELEMENTOS DE ALGEBRA Y GEOMETRIA;21/06/23 (SEGUNDO PARCIAL)
ELEMENTOS DE ALGEBRA Y GEOMETRIA;05/07/23 (RECUPERATORIO)
PENSAMIENTO CRITICO Y COMUNICACION;02/05/23 (PRIMER PARCIAL)
PENSAMIENTO CRITICO Y COMUNICACION;27/06/23 (SEGUNDO PARCIAL)
PENSAMIENTO CRITICO Y COMUNICACION;04/07/23 (FINAL ADELANTADO)
SISTEMAS DE INFORMACION I;04/05/23 (PRIMER PARCIAL)
SISTEMAS DE INFORMACION I;15/06/23 (SEGUNDO PARCIAL)
SISTEMAS DE INFORMACION I;06/07/23 (FINAL ADELANTADO)
FUNDAMENTOS DE INFORMATICA;12/05/23 (PRIMER PARCIAL)
FUNDAMENTOS DE INFORMATICA;23/06/23 (SEGUNDO PARCIAL)
FUNDAMENTOS DE INFORMATICA;07/07/23 (FINAL ADELANTADO)
SISTEMAS DE REPRESENTACION;18/09/23 (PRIMER PARCIAL)
PROGRAMACION I;19/09/23 (PRIMER PARCIAL)
MATEMATICA DISCRETA;22/09/23 (PRIMER PARCIAL)
ALGEBRA; 27/09/23 (PRIMER PARCIAL)
ARQUITECTURA DE COMPUTADORES;05/10/23 (PRIMER PARCIAL)
ALGEBRA;08/11/23 (SEGUNDO PARCIAL)
MATEMATICA DISCRETA;10/11/23 (SEGUNDO PARCIAL)
FUNDAMENTOS DE QUIMICA;13/11/23 (PRIMER PARCIAL)
ARQUITECTURA DE COMPUTADORES;16/11/23 (SEGUNDO PARCIAL)
PROGRAMACION I;28/11/23 (FINAL ADELANTADO)
ALGEBRA;29/11/23 (FINAL ADELANTADO)
PROGRAMACION II;29/04/24 (PRIMER PARCIAL)
SISTEMAS DE INFORMACION II;02/05/24 (PRIMER PARCIAL)
FISICA I;10/05/24 (PRIMER PARCIAL)
SISTEMAS OPERATIVOS;14/05/24 (PRIMER PARCIAL)
CALCULO I;29/05/24 (PRIMER PARCIAL)
PROGRAMACION II;10/06/24 (SEGUNDO PARCIAL)
SISTEMAS DE INFORMACION II;13/06/24 (SEGUNDO PARCIAL)
FISICA II;28/06/24 (SEGUNDO PARCIAL)
CALCULO I;03/07/24 (FINAL ADELANTADO)
CALCULO II;18/09/24 (PRIMER PARCIAL)
CALCULO II;13/11/24 (SEGUNDO PARCIAL)
CALCULO II;18/12/24 (FINAL)
