k,inertia,silhouette,selected,linkage
1,145.0,,False,average
2,47.008554972816015,0.6182378567311083,False,average
3,12.113515405773876,0.5732211761270886,False,average
4,7.4751440733071846,0.6969600123868179,False,average
5,3.0231592215840566,0.7060201643144538,True,average
6,0.0,,False,average
